nombre_sensor,fecha_hora,valor_medicion
TEMP_SUELO_02,2026-06-01 05:00:00+00:00,11.25
HUM_AMB_2M,2026-06-01 04:00:00+00:00,100.0
HUM_AMB_40CM,2026-06-01 04:00:00+00:00,96.56
HUM_SUELO_01,2026-06-01 04:00:00+00:00,65.96
HUM_SUELO_02,2026-06-01 04:00:00+00:00,45.88
HUM_SUELO_03,2026-06-01 04:00:00+00:00,48.96
HUM_SUELO_04,2026-06-01 04:00:00+00:00,51.84
LUZ,2026-06-01 04:00:00+00:00,0.0
TEMP_AMB_2M,2026-06-01 04:00:00+00:00,10.14
TEMP_AMB_40CM,2026-06-01 04:00:00+00:00,10.32
TEMP_SUELO_01,2026-06-01 04:00:00+00:00,13.04
TEMP_SUELO_02,2026-06-01 04:00:00+00:00,11.41
HUM_AMB_2M,2026-06-01 03:00:00+00:00,100.0
HUM_AMB_40CM,2026-06-01 03:00:00+00:00,96.42
HUM_SUELO_01,2026-06-01 03:00:00+00:00,65.84
HUM_SUELO_02,2026-06-01 03:00:00+00:00,46.0
HUM_SUELO_03,2026-06-01 03:00:00+00:00,48.96
HUM_SUELO_04,2026-06-01 03:00:00+00:00,51.84
LUZ,2026-06-01 03:00:00+00:00,0.0
TEMP_AMB_2M,2026-06-01 03:00:00+00:00,8.96
TEMP_AMB_40CM,2026-06-01 03:00:00+00:00,9.17
TEMP_SUELO_01,2026-06-01 03:00:00+00:00,13.34
TEMP_SUELO_02,2026-06-01 03:00:00+00:00,11.56
HUM_AMB_2M,2026-06-01 02:00:00+00:00,100.0
HUM_AMB_40CM,2026-06-01 02:00:00+00:00,96.18
HUM_SUELO_01,2026-06-01 02:00:00+00:00,66.0
HUM_SUELO_02,2026-06-01 02:00:00+00:00,46.0
HUM_SUELO_03,2026-06-01 02:00:00+00:00,49.0
HUM_SUELO_04,2026-06-01 02:00:00+00:00,51.96
LUZ,2026-06-01 02:00:00+00:00,0.0
TEMP_AMB_2M,2026-06-01 02:00:00+00:00,8.77
TEMP_AMB_40CM,2026-06-01 02:00:00+00:00,9.02
TEMP_SUELO_01,2026-06-01 02:00:00+00:00,13.64
TEMP_SUELO_02,2026-06-01 02:00:00+00:00,11.88
HUM_AMB_2M,2026-06-01 01:00:00+00:00,100.0
HUM_AMB_40CM,2026-06-01 01:00:00+00:00,96.03
HUM_SUELO_01,2026-06-01 01:00:00+00:00,66.0
HUM_SUELO_02,2026-06-01 01:00:00+00:00,46.2
HUM_SUELO_03,2026-06-01 01:00:00+00:00,49.04
HUM_SUELO_04,2026-06-01 01:00:00+00:00,52.04
LUZ,2026-06-01 01:00:00+00:00,0.0
TEMP_AMB_2M,2026-06-01 01:00:00+00:00,9.11
TEMP_AMB_40CM,2026-06-01 01:00:00+00:00,9.37
